features,true_labels,predicted_labels,NMI_score
"[0.3034818829857282, 0.07327018110748959, 0.05655854996689995, 0.11840098381968767, 0.17024237910487938, 0.006577001507072491, -0.10187779985401388, 0.10189903693845834, 0.12633472997689213, 0.003987352994049385, 0.1318793734114197, 0.027199618402252553, 0.0599885012457435, 0.030605562792510397, -0.0660432749942546, 2.557011768162557e-05, -0.049197341001231895, 0.022002338186456874, -0.0646427547043053, 0.004823951445898737, -0.018778442711201816, -0.04621437288194909, -0.05230231253064499, 0.12674285405228952, -0.04481574501205453, -0.015251556726112357, -0.08290418949202337, 0.06907683476315668, -0.08618163668308113, 0.0217935031538974, 0.09023180256374569, 0.060171132994411056, 0.050876216750669695, -0.17687994061211768, 0.1120336476078201, -0.13991923132070364, -0.07893068018189407, 9.467177772882015e-05, -0.030511658636958726, 0.05126154836872664, -0.07309900731456083, 0.09278416136946947, -0.1537931798990133, 0.2693553322735635, -0.12454241489620436, 0.20741852810362554, 0.012441914945514013, -0.021044932968293684, -0.02026219578148876, -0.16102144507803925, 0.14311541231772099, 0.025415833327960657, 0.13959583301909007, 0.09485932898131172, 0.03005643306416673, -0.10089552016838339, 0.17319743435394808, -0.06539489670171773, 0.13453681580147514, -0.04581863042245926, -0.21591844621371886, 0.00804062760801984, 0.008198652199246852, 0.011508456552863925, 0.2072781593023177, -0.15544341629408448, 0.019431905626101476, -0.059841966650954946, 0.0017478251303407598, -0.03640391221983259, -0.09748727142362329, -0.08906686476133972, 0.11014582413102064, -0.11072063337269204, -0.08980902340055226, -0.14283384588649134, -0.1261633300015307, 0.2187414454917408, -0.02653898674337644, -0.11071978845312438, 0.032716316342942725, -0.04775874713422914, 0.10279687232242958, 0.03047978835484676, -0.10425952079080535, 0.06515149829843993, -0.005890331205954055, 0.09135286700979739, -0.016111944711573133, -0.08436141135640268, 0.12201418320590948, -0.0067475654585490655, -0.04786537766028041, 0.03187241851725573, 0.02264711738879494, 0.08705642587437427, -0.026073357705022043, 0.06632069983902159, -0.022501945402878604, -0.0053341465325319444]",ECAT,2,0.541720607887832
"[0.2845392883544404, -0.11287997544368623, 0.019658048698684302, 0.16010443920783377, -0.11653998302367392, 0.09566134314433644, 0.1722286793734114, 0.13568240110185373, -0.11694920326024738, 0.005315175423813776, -0.16413900421119548, 0.48253309830069596, -0.1391466116272086, 0.1859690262381914, 0.044495531109208626, 0.21173671079942782, 0.08238126439478018, 0.08198598793884242, 0.0046090632690529544, -0.08514503644671235, -0.021152106607445216, 0.026800352820883444, 0.034836630383544724, -0.07016394428835437, 0.02719985095936872, -0.024928846602255653, 0.07114253305266413, 0.009020204711427506, -0.02315495441923363, 0.032485643542436014, 0.037693080817970515, -0.020212573131869627, -0.00952266100912273, 0.03419160636659424, 0.06662948347357356, -0.010892496446123279, 0.08203622445229623, 0.13301007320908742, -0.09751890448801298, 0.08113228095802252, -0.011187405238435439, -0.11266756054413303, 0.26197498719146795, 0.1280309117657031, 0.17841700265799168, 0.09339728724806286, -0.023870068280708402, -0.18513943539319386, -0.008259435252420113, -0.07063174658057603, 0.043197275993345816, 0.06384033457165064, 0.04623519228916272, -0.11264530369446692, -0.021004967092556504, 0.010715282646752079, -0.022228618057833542, -0.009155830729751575, -0.04516282229484489, 0.07450579911747336, -0.027033863509345866, -0.08194268512814375, 0.047004242453652374, 0.02067773046641947, -0.02957754277863389, 0.033928742884378645, 0.0703081887307466, 0.049898260615843563, 0.04039188275492873, -0.07525248319741905, -0.008824688799289515, -0.056986285435588556, 0.11881537370314063, -0.022702443277563683, -0.0697844906493074, 0.019960963164004808, 0.07908598171631911, 0.03686628116147323, -0.027894483902591354, -0.039208372254108066, -0.020951496781370975, 0.07439016305740236, -0.04610836026277239, -0.10474304885168306, -0.004324218558169423, -0.007911779876134192, 0.039281082509049874, 0.06412700199491136, -0.03618748991856799, -0.02854684616585677, 0.14522267912241807, 0.1069103858635931, 0.040356681123906855, -0.1175720057786083, 0.028929249245714793, 0.0022519827234606564, 0.0012484253912216005, -0.006584970087078018, 0.08251820511901013, 0.022473545047242513]",MCAT,2,0.541720607887832
"[0.36120842664677427, -0.2389218319569254, 0.0037504458697163266, -0.40778146975361684, -0.01296964832510376, 0.0632216036902695, -0.10008752031960251, 0.11107232922179139, -0.1384844752058629, 0.07825713224094649, 0.056737615037524405, -0.008734663723456553, 0.05639689472595596, 0.0964665059421837, -0.004721945277149644, 0.006979731398425089, -0.051853868839987494, -0.05905403843392116, 0.05485319828479152, 0.003430668886812533, 0.019902358337473253, -0.016373792894210416, -0.033975143827801896, -0.0109058585609532, 0.044658391254681934, -0.030846829183859704, 0.07321712886315647, -0.014511285472463798, 0.0411236665033999, -0.03915182063274293, 0.06992463491828897, -0.009951416991499002, -0.10034544487811478, -0.043804184350058555, 0.10183773830804997, -0.07626999754987808, -0.08578813733085365, 0.026944118470404177, 0.0060230077127275275, 0.09802417769196853, 0.10291589815886687, -0.012412909812960289, 0.013382531792019576, 0.04133576411046012, -0.0870589192473736, -0.02219608037986448, -0.006262211295262564, 0.10599244775517298, 0.019218151360995802, 0.04966211391681878, 0.14781775648471304, 0.0855576904598419, 0.02476924892088404, -0.18895006730051536, -0.1046602323080121, 0.0644873219101224, -0.04845662593117349, 0.2872852749062318, 0.011717121237727146, 0.07988453962557357, 0.047623860898937775, 0.13771486334845576, 0.008784166054897385, 0.0817561715080791, 0.028483337435051305, 0.27627875885616754, -0.03917746968101297, 0.04154711296046693, 0.010663656302174323, 0.11275010905957054, -0.07425673976801314, -0.08525262281525257, -0.13543389748337276, -0.11158689894254709, 0.16721322055250482, -0.03642701325280674, -0.127044339337418, 0.04191971772927102, 0.08792323009678722, 0.017755948867683887, 0.023601099039842678, 0.09751998862794141, -0.015673813196647166, -0.009603733406509156, -0.031376556614102706, -0.030829745238623307, 0.08919949188210584, 0.08231626296053794, 0.09975624935249616, 0.08315551948799121, 0.029318186078134776, 0.0064210588586712525, 0.03770943611564452, 0.056123804291576825, 0.07251148564712534, -0.037399713965140205, -0.11486049253027071, 0.03330174189027913, 0.02640230763892375, -0.0824024628654537]",GCAT,0,0.541720607887832
"[0.3338235168884711, 0.2525765328755571, -0.05309758458983802, 0.011355218146888309, 0.09064627260285377, 0.04398483914525234, 0.09855391102671618, -0.11605300826294936, 0.11925941494304292, -0.06032416350719752, 0.11312355859362874, -0.14617457028750291, 0.05925952923060455, 0.3578798867842021, 0.011792435609765181, 0.08952365560298323, -0.024698144149273567, 0.06015664597547466, 0.14378825024690506, 0.030489293162796992, -0.04467096088959349, 0.18225856957503836, 0.052392483546168614, 0.024029152073106214, 0.07338325346064047, -0.222834388164594, -0.12693515511449255, 0.042642731714689595, 0.017342474920514578, 0.022220782088411776, 0.043256111320348366, 0.07001373824428847, 0.04033289060106832, 0.04108560988287644, 0.03772712387119813, -0.06597863402217458, 0.04431986359203508, -0.13341261510636374, 0.06652773914361766, -0.0020015329012963755, -0.09745160096205918, 0.10325242818158865, -0.07028015927006828, 0.050960748613080045, 0.04464137630852824, -0.05348632071585186, 0.052297965305686554, -0.055953603331966806, 0.218259394066815, 0.020211830153970715, 0.05889461328430852, -0.005268505706849196, 0.07173659371560424, -0.07240494349553701, -0.015704764491428196, 0.049902131954815576, 0.07510223226748966, 0.02946524782462211, -0.08739821101239925, 0.029582913675949757, 0.03160012266843094, 0.0460617398342166, -0.010820427217557415, 0.04673514577417407, -0.002568728104620759, -0.13295304581830844, -0.19099747588856986, 0.051053616418794, 0.0644906254644116, -0.015024398367818709, -0.055641599175787905, 0.04920454359538488, -0.011140546056918634, -0.09147600980364483, -0.05463785741600786, -0.049008003707229894, 0.10355786300717239, 0.10310877305762779, -0.011075750698235583, 0.053684476704680004, 0.03988275041805134, -0.015360979090182223, -0.1611081378933547, 0.14527741262647934, 0.08347724075466015, -0.09051979224067126, -0.010166676959752036, 0.08215034417555422, -0.19391998675273914, -0.01317211126627796, -0.13800283879292688, 0.07740552752341368, 0.009668635316129595, 0.06316834607563244, 0.048672618947032294, -0.13788628244522627, 0.007776536759251481, -0.12698755583387503, -0.08194329195839592, 0.08947150273871012]",CCAT,1,0.541720607887832
"[0.48791047944199417, -0.051532268514299436, -0.04439670266310774, 0.34064203972520074, -0.322241060926766, -0.05895580910317125, -0.1025892129484826, -0.2781611567665408, -0.14441966114793942, 0.020594562104538482, 0.00811622951709705, -0.08744568768943738, 0.23144108086955917, 0.16780159388104993, -0.041105635784724495, 0.06991877245588694, -0.0872713819742838, 0.023692075561838263, -0.015398038048272326, -0.08256545250629631, 0.003427738885478497, -0.03785538464971466, -0.09647546827880656, 0.02124657222231272, -0.012084713872017554, -0.05339692056859633, -0.008398850980640594, 0.04712165079310426, 0.1275459561138871, -0.1082048104341365, -0.07887871353257561, 0.015277789655231713, 0.006572793042930179, 0.039379556838208304, -0.0643093349525621, 0.07603865244448083, -0.05873122159724466, 0.031505445627110336, -0.014847725530479451, -0.0017835495545526546, -0.03080275574038454, -0.14076979874668827, -0.016700645835299777, 0.0896304902095231, -0.04850062798423881, -0.06271815738690707, -0.011436828589316954, -0.030380445637207824, 0.05849001682766247, -0.14241932565080728, 0.02877674467672792, 0.04763892404372713, -0.14266650872699638, 0.0069670773857446605, 0.002946811330183045, 0.04351589096743839, -0.05930030040928362, -0.012431455763962722, -0.04117130563210058, -0.05025372897497505, 0.03780720042995492, 0.023053270452654345, 0.022365134301751674, 0.025536894551201707, 0.0014283018453931672, -0.09988723091362536, -0.0678183059380428, -0.007110978192073204, 0.003288120292095587, -0.015008775660760261, 0.11185959670896974, 0.03520517403806074, -0.010029255017327076, 0.0460430326855289, 0.006618953159023336, 0.020603981470099175, -0.059366046974516876, -0.036797884525537915, 0.0049673640540445945, 0.055582908607560384, 0.030304446209151403, -0.024439787264228584, 0.07305512563919317, -0.01586968770931623, -0.11323754711045785, -0.03458576307842832, -0.07464250775056684, 0.08355990139717005, 0.009826923492538765, -0.11064614473080736, 0.022870601193421453, 0.01783265700448572, 0.15043961951408946, -0.022445541970062786, -0.041013694715431225, -0.0960342653885911, -0.001692902848390156, -0.08331755948459942, 0.0717787167799365, 0.13273094646131858]",MCAT,2,0.541720607887832
"[0.5035272884000944, -0.062057167177817237, -0.07616379429772219, -0.02176834576672561, 0.23490834406670855, -0.1085079623518495, 0.009089416729053584, -0.22802361380632052, -0.1481439506860557, -0.17448827842004894, 0.05820681946312882, 0.12801785819574665, -0.027104038771895676, -0.2906241492251412, -0.11169008147403806, -0.013305386250988073, -0.02852758918650332, 0.028459780525137136, -0.07983938589292948, 0.006410890565671569, -0.10315138340010487, -0.03139651117784719, 0.23008716960107858, 0.04303044313102142, -0.1189562070933257, -0.12349147736363479, 0.02600887895567316, -0.012908123949472383, -0.05562530839051263, 0.0025603257121082803, -0.08211115579824867, -0.03261082387754291, -0.012455579492497159, -0.06688028849837482, 0.00701090020602891, -0.007748449545642406, 0.02553560058605343, -0.02872840803947725, 0.02142814863368524, 0.010341882117245396, -0.011461406449264184, -0.0077639796560360986, -0.00012246662325550545, -0.0418541828777444, -0.015118660262095773, -0.04136990955690297, -0.01836794040847541, 0.0491098121208782, -0.016200982159784334, -0.015428582851219518, -0.01284264901812627, 0.02764779289316205, -0.05900758553216745, -0.04040415339572464, 0.1332722972780302, 0.08990971755146987, -0.03901396342046126, -0.09398351076692989, -0.023177592549304973, 0.11880694427706656, -0.13547517421553743, -0.03312536332596912, -0.009276636674056978, 0.011670960088662146, 0.036516487077622235, -0.0195592205996775, 0.09656152920559213, 0.07312376097305272, -0.015314360751355192, -0.1698754230126782, 0.12739600948082683, -0.05839509205490251, 0.08163915741627088, -0.043680109270025934, -0.061829240521205864, -0.05531023365506266, 0.16315008668688646, 0.032293301792538684, 0.0662895416251066, -0.09275817923053019, 0.126267932339513, -0.03747219081729485, 0.0848873248873474, -0.04564671506310664, -0.014696423704271835, -0.07800636694272349, -0.05666606955866512, -0.10471897038958011, -0.1724887232841907, -0.013752275885362583, 0.08488334610417853, -0.02292479130043137, -0.11275687684972516, -0.07550696948599227, 0.0027277336489957356, 0.05659439464509468, -0.022862672869886958, 0.08893737569702125, 0.04866570275622499, 0.05239269879799763]",CCAT,3,0.541720607887832
"[0.26188191934734867, -0.06496325934511303, 0.05281924889965925, -0.04155612157635657, -0.10567573552926401, 0.05457625809401534, 0.2664281788281187, 0.03169420042835902, -0.008230755211266863, -0.20708021424384176, 0.14250897946877755, -0.13046494058650632, -0.08801772794018059, -0.19101916195185642, -0.1322682665024854, 0.2950141184652526, 0.14557206866513972, -0.0625955365452173, -0.01997068991516694, -0.11088046493125063, 0.10410299777286673, -0.018053042153136634, -0.025273991304866898, 0.04138869236016474, -0.10225132082994864, 0.016393253221334274, -0.035735492275732667, 0.10506572792281664, 0.09413588541653496, -0.053792931832982366, 0.0412691916269955, -0.10109354819332624, 0.03216323045869086, 0.07316055435915589, -0.06547733928627543, 0.021634475125300253, -0.0038528086394273315, -0.020840267322241847, 0.07993731825727653, 0.017002024528537028, -0.11829024575400306, 0.3491101393555412, 0.014129427013511683, -0.05038968799203873, -0.024880271681320832, 0.06072180658390378, -0.0801256667701597, -0.016432318052122898, -0.0662588108256073, 0.04830250350830064, -0.05305612666103973, 0.0021635743651632344, -0.00011297500643261155, -0.009996141290553819, 0.17062425320679492, 0.012410173862717064, 0.03866653765417552, 0.0646751866129343, 0.05765085943132333, 0.03925455933689457, -0.05028463706743794, -0.09241007295347424, -0.0234641953603508, 0.030865580411774382, 0.05830193576680556, 0.025122158264688957, -0.03292651064669875, 0.04616817520138096, -0.009599935249236838, 0.10594145366850424, 0.0772826092736107, 0.03507728932310982, -0.06892300618424571, 0.006767227300007719, -0.11807724497044232, -0.1265727548445067, -0.24243988298870148, -0.03197989838266628, -0.19601251363507347, 0.10196896289068125, -0.02104552487102379, -0.056889051204176956, 0.03273774794852946, 0.043509520594588735, -0.004721753553812974, -0.09844172648205257, 0.11580831183091433, -0.026167442401309065, 0.07813378437459267, 0.04886669124872653, 0.001736234544157001, -0.01806246596668219, 0.051640144252862896, -0.09985983475324406, 0.10731716842665039, -0.11528485701313627, 0.08473448910983548, 0.10397112501745656, -0.0566034466028079, 0.11184547658095272]",CCAT,3,0.541720607887832
"[0.34228518699946603, -0.11315692821470101, 0.07457260616847892, 0.28864644125972877, 0.15567258334414563, 0.015336624854822222, -0.17143432250779947, 0.14232069326355884, -0.08159911560556685, -0.04702608908839292, 0.3652057649868269, 0.18257418220091834, -0.15867706713162563, 0.004115366902456445, -0.16482130024719585, 0.0022707966633066542, 0.03048959602435578, -0.044162389345983634, 0.10508432098175975, -0.033303530568684424, 0.04462653344253233, -0.08970744747204656, -0.035440742007917386, 0.01549091211760065, 0.005256656803461495, 0.016721331122237594, 0.053952446499749535, -0.029136115615099666, 0.011002466318241071, -0.03917215992023465, 0.24074517970593506, 0.06087034794673965, -0.024072283125995974, 0.050064353955364155, -0.15029085613965493, 0.04380884403292414, 0.10762689277649251, -0.03878403965445038, -0.024636227162309038, 0.11718912960276856, 0.08300861805618857, 0.1293304104605386, 0.046732640835148574, 0.06037991167447612, 0.05378614616056229, 0.0037182185274885786, 0.10855094170679627, 0.033571630666670106, 0.11515008605777605, 0.11977374491168562, 0.13819683731413324, -0.011809461396351062, -0.10420445261742178, -0.11871180459434767, -0.10658765901031468, 0.07252290540222253, 0.08654050255085306, -0.09229461474490923, 0.003165838182362759, -0.034790919245601855, 0.016099806480333354, 0.07338845932156172, -0.1474755253091112, 0.06646022788419878, 0.06634060025366398, 0.008920791709469422, -0.05962767007538306, -0.008651562286255559, 0.06520309730518885, -0.021902996623191215, -0.024341277291574006, -0.034516357425639216, 0.12252717839629, -0.035781490287215584, 0.05808546136091617, 0.02900911127361467, 0.051293345066577505, -0.0620756925936662, -0.13149835147423755, -0.05199971767070802, -0.128929664442657, 0.05559314360119605, -0.12430062024776752, 0.04041527701203163, -0.029775641266640788, -0.010010572519080118, 0.02562309294729445, 0.06884821908106381, 0.012793972218935622, 0.11448875843909077, 0.03919522052656503, -0.016296869789881766, -0.05571645628367359, -0.03603737244795583, -0.06577579720747569, -0.09433246825416733, 0.04540878249003027, 0.024884003060315796, 0.048854420584736, 0.06959822337071568]",MCAT,2,0.541720607887832
"[0.2892488618040464, 0.3946885671853989, 0.5072885973372027, -0.030472216265375836, -0.003979980719587203, 0.031717722862715785, 0.02152809710100864, 0.051116509475854235, 0.09436602977564387, 0.02100069869738045, -0.10415857185140036, 0.06179117797996798, 0.022832256497677124, 0.021305149182834715, -0.06477042025404962, -0.0141307815278007, 0.02655790740303395, -0.00914724291425729, -0.06359711376466254, 0.21330671064063367, 0.024814546970550716, 0.011375868714649606, -0.12873775719689962, 0.33035889932926504, 0.03264920233975949, 0.15806490631411446, -0.006549437065142142, 0.051018193822761834, -0.2521978868409856, -0.17365524549676764, 0.13479009266981512, 0.04583357286081316, 0.12299095331718758, -0.0178464799286139, 0.05584840647409205, -0.09142905826458797, -0.01536947003160425, -0.005633782579898243, 0.08202538315024523, 0.010440710788181304, -0.12284147193807433, 0.009722933091428613, 0.03378312176684662, -0.0020717051599965144, -0.0037813491515193364, -0.008211488938027079, -0.09201714579652236, -0.0064459678182896395, 0.0717854796698266, -0.006569726070171744, 0.02894033251852, 0.038787219444339514, -0.004269086105690386, 0.06346950618214021, 0.007090744533842737, 0.0061903609586078925, -0.00866659094901956, -0.011273615752894435, -0.038468463187517635, -0.008457831061542577, 0.04052805415022445, 0.0904440869859278, -0.06393344167679299, 0.06226108229965855, -0.04364082345036345, 0.038275296756465876, -0.04168286432569822, -0.05336102374052289, -0.06827433103819631, -0.025889174161897382, -0.053307556353583675, -0.0629675871016792, -0.007037304000667724, -0.04309783160819039, 0.0127218078671874, 0.02041639952820692, 0.07947652564221316, -0.03337281861253669, -0.04076995281231596, -0.020461169399495258, 0.04174707544596512, -0.004736798592828448, -0.013756675274496413, -0.002385799225235041, 0.0018876674789449213, 0.0086375034363296, -0.01374070841677211, -0.042057983266101655, -0.06697681178089059, 0.004501952411333589, -0.0545898502494791, -0.0667537026335806, 0.0007146172826315836, -0.0501594016228955, 0.047073830626193976, 0.01607331472472211, 0.01295930757233724, -0.022999884287322837, 0.03031667100136334, 0.06702752393701362]",CCAT,1,0.541720607887832
"[0.3666826321465447, -0.10438253426759724, 0.014433803356563574, -0.06828936336143514, -0.01151066971354725, -0.12684366953090995, 0.0762269529998197, -0.2565507276500713, 0.12029865504067226, -0.2306090710363084, 0.021158124379230692, -0.06704712098546546, -0.19548710789495413, 0.16527443851828988, 0.2483330399949629, 0.05241881208548176, 0.0596189676957969, -0.19410491618356962, -0.02077384415445758, -0.0258919085790688, -0.05508990307878336, -0.04025327254977812, 0.021318274663423578, 0.1209384056420021, 0.13791904984718964, -0.041330926975097076, 0.14954803300486688, 0.030512067480271184, -0.10751466669965154, -0.022584455780772738, 0.14450374863150428, -0.13749456945699817, 0.0013776706783539079, -0.09288515363706472, 0.0969186538172571, 0.056876735170450755, -0.09106377963900963, 0.03869832700965511, 0.17267345351679897, 0.0024997075855099846, 0.04441389430204535, -0.023337342434164562, 0.09518898439627389, -0.05779556787250026, -0.024002129189877652, 0.0660650765115657, -0.1650787640604885, 0.003000599406260457, -0.05738803001926317, -0.001999600644022186, -0.07037948948285846, -0.007095262932423188, -0.056284098889181476, 0.23075783476447725, -0.08338416649827454, 0.07872890849116905, -0.04608984466406556, 0.08760801087341684, -0.0353653899971815, 0.025201825019449172, -0.06685923118001373, 0.010874453146893413, 0.09726310623707538, 0.2104093179840678, -0.0395265217358617, 0.0692104099128102, -0.042754968844646975, -0.003445518249801848, 0.014845656104872249, -0.09484348802933999, 0.10449990028827684, 0.07997473033290445, 0.05843376014954191, 0.06466575058903418, -0.06395773813638887, -0.02527503740119881, 0.02604284541924202, 0.06205438434904279, 0.0193724281430728, -0.07789348399673018, -0.13266237387902552, -0.025941076724381788, -0.01629689432093555, -0.030558250960705573, -0.02857476084774311, -0.07975807957084138, 0.04810367500487158, 0.0010638444241932571, -0.03898962522119849, -0.08992772408820679, 0.06140575409096893, -0.05557806429179241, 0.12194980116268926, -0.010430046890517072, -0.0041833208795773675, 0.005537690105654069, 0.03574473592916303, 0.13897426564542673, -0.08029750571612843, 0.006878673056109262]",CCAT,3,0.541720607887832
