features,true_labels,predicted_labels,NMI_score
"[0.24452168143419287, -0.03515603092499482, -0.04842980369161056, -0.16043236291795418, -0.030320261137480847, -0.03240999469896833, 0.07561539330211785, -0.11476123480598308, 0.07213314086965061, 0.058126371529618, -0.028540013958293777, 0.09816296885435519, -0.07812758503163049, -0.026383040089073547, -0.02900765754843741, -0.043452070727692776, 0.03401955604280157, -0.06528245453019696, -0.08764016578307333, -0.018843371951808005, -0.09650228449079856, -0.03484266864468958, 0.12600594882209468, -0.07815935661739741, 0.05163116070934011, 0.06184891096463339, 0.06104964185777786, -0.017501413947306886, 0.05653651737003811, -0.004734518239323608, 0.009539086861563692, 0.16998869113595433, 0.058761117702409243, -0.043503221835039387, -0.045323336501239785, -0.049433315061377, 0.057127343375655226, -0.02478782348434196, 0.08857125817122115, -0.06053561327413055, -0.18561075768651578, -0.026419148423181726, -0.034240923353078066, 0.06139930369621215, -0.06618912150498678, -0.04657158618264244, 0.23425598047838805, 0.04368679156097547, -0.1385704524050394, 0.1064941243686688, -0.035733500080790556, -0.10262239953475301, -0.096188654657671, 0.17037642694584973, -0.13538651213577918, 0.07052871359401791, -0.13376091555504122, -0.03276418610631235, 0.14132508900145793, -0.010151980967245613, -0.03957852896746041, -0.13247395647185098, 0.01627236240659901, 0.05001081401520198, 0.20103839874811025, 0.1022846676573526, 0.05856218250036946, -0.008242870275964832, 0.00981018987814912, 0.3413329779907118, -0.2911039293994168, 0.03574405031665331, -0.05272879704509323, 0.1673284925112909, -0.015154783208460988, -0.001727194024210331, 0.15022775625764204, -0.027023648290985684, 0.07176050515870727, -0.03473325702355721, 0.08840702776208845, -0.13976747330149475, 0.16045893769006386, -0.06999419466476677, 0.038168127307111326, -0.0786475286651826, -0.11531224632443947, -0.011530384184852376, -0.013740342401724894, -0.005925957738645434, 0.12353003935434254, 0.12507509961521632, 0.010774066156852752, 0.04165045657215081, -0.14511890260734897, -0.010253438743833805, 0.06031103242257582, -0.06705984045050296, 0.14094165171661008, 0.019481168668792744]",CCAT,1,0.5618166083495669
"[0.4977660788536761, -0.08382009021926022, -0.013861624939242425, -0.11366791400778549, 0.03855859185085575, -0.0782761095261204, -0.12822486586018733, -0.11824958038680274, 0.13901013371752735, -0.12307273776238911, -0.017225319995087453, -0.047718424025841574, -0.13889754138752974, 0.18608093524885097, 0.11319448282739067, 0.027148604724122036, -0.009245033893238452, -0.056204120484727456, 0.06450533243488275, -0.0028965638059724277, -0.017993825479348465, 0.016439427240508397, 0.010263802299887728, 0.15351603224786572, 0.025868045171830317, -0.1422867508360469, 0.09917786910563156, 0.07965540189331863, 0.09577832904463174, 0.028268232637092085, 0.04137234412372684, 0.039738791331681546, -0.023373978882331985, -0.1706117027577923, 0.19116515352104477, -0.09738549533115272, -0.07357600500806016, 0.01955820037275062, 0.07721231957497454, 0.1324934791592172, 0.046019636873741394, -0.010625603770205877, 0.09173516404464499, -0.15042352194656508, -0.03998173001247772, 0.08239925458282829, 0.10628625127967369, 0.1308112971602153, 0.043939023630217504, -0.001207763474977637, 0.025850915270110374, 0.13291859203922202, 0.0236125965987247, 0.008719393944946698, -0.13471926507320572, 0.10741645171036686, -0.008968325991802148, 0.20832814190868199, -0.1080194812356494, 0.0694488605408315, 0.019218194050253296, 0.0034391076518236995, 0.12039426179385189, 0.09671348703435367, 0.0487764247897596, -0.05711291627071094, 0.044923588706112974, -0.033317705779367546, 0.010960555511007159, 0.0419579811214295, -0.011184188092689883, -0.05236300118020976, -0.0035139155456745687, 0.10917741176720394, -0.06899530021677343, 0.05751195557231332, -0.007110296124217719, -0.026509067384170568, 0.05188101954825131, -0.07257589050107077, 0.015523580925738007, 0.02033820519449395, -0.06368449315068282, 0.03082122496451147, 0.02755997913683681, -0.004055945745186263, 0.009236618581354765, 0.11804775004830505, -0.16039718253938998, 0.0170778548382328, 0.12246334670093768, -0.012126790129139033, 0.1559169385308081, 0.17459263412132336, -0.1303719822148362, -0.06010580162934359, -0.03545527583055077, 0.06381361384707611, 0.02882276302068315, -0.11060048355612395]",GCAT,1,0.5618166083495669
"[0.24908531643511775, -0.18402575910331317, 0.024980751397568664, -0.2718016213885203, -0.014261774882153806, 0.07267595992166977, -0.07112128948863473, 0.08505360609001913, -0.10159758393466149, 0.03017023619759229, 0.11426032625063774, 0.0007291027955447128, 0.07986718953897909, 0.019806603373621626, -0.07570036466976664, 0.058030195843812186, -0.026508673594452963, 0.05236039581818286, 0.11262025297045167, -0.016528577755940643, -0.12674256720099264, -0.19757588434715626, -0.19423174162708354, 0.06102681315509438, 0.1871161712381604, -0.1098137482443002, 0.06294025453666256, -0.030220224660823823, -0.15607549634119763, 0.3721747332239204, -0.23373889736581197, -0.014557822443383299, 0.4010128469871149, 0.08203153258826136, -0.003969974263236627, 0.21898135940355642, 0.1525264034875376, -0.019978667591552715, 0.12295996236931886, 0.05810145085001616, 0.03451311363261287, -0.0032663203312852168, 0.025144843876332864, 0.028282492114959732, 0.04159850875247947, -0.006725634386147812, -0.17156173689123835, 0.13405435814953917, -0.01723641279747879, -0.07487633564281967, 0.06078970844918853, -0.09963427783937331, -0.03193764315732021, -0.009810421137599593, -0.07662300762923852, 0.010456209907524187, -0.018858625794968168, 0.03160175693547181, 0.027854680353648416, 0.0633743606098256, -0.019278087268067155, -0.06141170398839951, -0.04620616687773365, -0.06684713126275793, 0.07752058646847443, -0.020822763516005094, 0.01739423591982167, -0.01947936128194864, -0.015716749384987034, 0.07708411903724748, -0.030357890106583598, -0.027251429391885046, -0.012548792921521496, 0.0014917335004563444, -0.0012677228674763258, -0.0007501257389597029, -0.0009910372468603403, 0.008522554761929743, 0.015186735758352972, 0.01947670099422417, -0.017897527493542453, -0.02094230214231449, -0.05778963809467755, -0.026697193641368664, -0.0036697870492970026, 0.0037008626658537724, -0.0004043037343065823, 0.006343319757542422, 0.0009644294311415088, -0.06442303009174151, 0.02023261554090643, 0.03455177491735858, 0.026283105582940305, -0.06773792551989025, -0.004168139346902405, -0.021122704619064382, -0.011902344424515493, -0.05204252038610136, 0.008375030175741174, -0.030372072193906505]",GCAT,2,0.5618166083495669
"[0.29419663046493344, -0.16662399148750556, 0.0229717693002528, 0.11581117316227185, -0.1300383517025872, 0.1426722326565447, 0.25043714173034787, 0.17425030027118923, -0.11380421527152194, -0.12504634767668504, 0.08493803120619932, -0.1700101099769301, -0.15546488620420443, -0.048487455505497, 0.03152532020311362, 0.30169112459795017, 0.05762510008684666, -0.054268785683672535, 0.04343742070804951, -0.05069075950756733, 0.10096382316030951, 0.05594666175860069, -0.05444250368866637, -0.02021672386671872, -0.0008717057490029361, -0.0371239126343933, 0.04638547237174854, -0.045931672630917526, -0.05266478877382429, -0.03491354403192612, -0.007861169833811724, 0.09068985673127163, -0.059944885560305014, 0.05539814865594463, -0.025161315276619543, -0.018408374531323553, 0.06531954978972841, 0.18324071096565073, 0.011265553497107186, -0.13695937499605376, -0.01153595792092159, -0.2859936013913504, -0.11125520095715945, 0.015407006556788101, 0.12207640400368347, -0.005832441535954442, -0.09421061995335937, 0.00252348220154506, -0.1376771026604692, 0.06617240626755756, 0.011704349625202155, 0.05788827451532998, 0.07064707063499358, -0.1135954891282712, -0.1282537985098587, 0.008874490838518514, -0.16097322466506972, -0.12350881491332723, 0.023040575081514605, 0.11202979575915899, 0.007423783699533873, -0.018670907299247225, -0.146729664136867, -0.00905075154171239, 0.06200797955134415, -0.05887020539362234, 0.09699648623718707, -0.07444473843727856, -0.09478177721667219, -0.09343686377041556, -0.027596350967458518, -0.021446939133616647, -0.06862375829344614, -0.07862871787399961, 0.026924967241365193, 0.11708238130274104, 0.04335923231085119, 0.1206696704219603, 0.008949034101440937, 0.02865171759112851, 0.08163774966539458, 0.05721528741856897, 0.015297544513983163, 0.009623401054828918, 0.014834387973488738, 0.043355193596210054, -0.00589599112548835, 0.05409883290080682, 0.01512439956518472, 0.0398178897669962, -0.01876565329780247, -0.21123971018697074, -0.04973696933784306, 0.05605506930761552, 0.018465483705507012, 0.12288654044576736, 0.025963341371934456, 0.018988889374117843, -0.02498638891063696, -0.15458501032415298]",MCAT,3,0.5618166083495669
"[0.36151564686205534, 0.5348092813612964, -0.45319911694566484, -0.10598641257221873, -0.06983461831163718, -0.3097244696399741, -0.010938058372608236, 0.24647098252232472, -0.1621959447249331, 0.0331402395125846, -0.013792113245001876, -0.05194054278205113, -0.03107054269423326, -0.03880376292993871, 0.01786535301282114, -0.01692348709426532, 0.0638998117964939, 0.011383149501109382, 0.035091219641888494, 0.03755523437721491, 0.02998528755802629, 0.05890317494305106, 0.04333274033661719, 0.05576174680289087, -0.014831220197153704, 0.011543132897408106, 0.13857103029981135, 0.0716846519170291, 0.04737572799251575, -0.0005549806703384912, -0.011466335027588972, -0.09024530176598414, 0.018952910632698567, -0.002688465837080815, -0.047668129541519756, -6.265369390859867e-05, 0.013810012131042212, 0.04180545759764029, -0.024168405941853533, -0.02489875382639015, 0.069525642554281, -0.004597329675293161, -0.0324913438579469, 0.0333731118943287, -0.0669761556003074, 0.08456516253836667, 0.011725060092142166, -0.027421769106013804, -0.06761509572457701, -0.0006853327671953017, 0.03588318895552911, -0.015238367938520365, -0.03154215533603896, 0.012254093388183038, -0.030701543001445186, 0.021061719327320007, 0.0007851657995488218, 0.027776527376314794, 0.03382808023231946, -0.012085107921393988, -0.028933870209042364, -0.09514752885586082, 0.03991480809608407, 0.04388687255011151, 0.044203641944099765, -0.0241966663090103, -0.018464843273056523, 0.05073350004296183, 0.06306971478511328, 0.007666058784907575, 0.005315262406197886, -0.0401202847794896, -0.02619747666237208, 0.0530211351939143, -0.03879745426558928, 0.009976110320220121, 0.1392576078459745, 0.039649759221738655, -0.05137149676957935, 0.0737403405480358, 0.012126994949762982, 0.05975534503122824, 0.022928135659613515, 0.02519177190151767, -0.004273867183959854, -0.014446991498968548, 0.01416733485776108, -0.06740314229100622, 0.03898525480320174, 0.008781791042942048, -0.020771393817947202, -0.015850681674822422, 0.011199031760860493, -0.025428079408697273, 0.009483262401052258, -0.01849491982526556, -0.0864498732101335, 0.004696456481781837, 0.06597912441163781, 0.017680784331754948]",CCAT,1,0.5618166083495669
"[0.3101944553397374, -0.21011624681693325, 0.0354425315891603, -0.2992652658553205, -0.09832784405335727, 0.09049905776222016, -0.0003030284036684055, 0.03690907411400042, -0.16738822021619382, 0.05175767874112692, 0.05644958414079726, -0.027119095417642562, 0.16395307226779215, 0.10193072612978145, -0.22624825396617948, -0.046344062909925064, 0.20571454391865973, 0.019479702813690714, 0.05579620262916483, -0.0029566600533480008, -0.09859071433452837, -0.12166979441977217, -0.10511355991682284, 0.00821392533981558, 0.06775108296577735, -0.07735311098661903, -0.012857647884204694, -0.0022784126272434187, -0.08951323358606587, -0.03186858309525557, 0.008743855369841538, -0.10395321677765264, -0.28570532670079474, 0.044617225897519715, 0.039279255324820364, -0.11075771851058898, -0.05855141234168469, -0.04412250962607202, -0.045008426865752266, -0.059946200284464984, 0.08493526280221599, 0.08634587335851385, -0.0026131190278153435, -0.04558274647975047, 0.12397269802028031, -0.0558362420434812, -0.08714397680457059, -0.11468717531919381, -0.10534918493214822, 0.04591435149366192, 0.002264824615865079, -0.040642280147458076, -0.10868436376513368, 0.08860011785482778, 0.10335691432004522, -0.00465128941103846, 0.021624884186949224, -0.08174874058000695, 0.005292407290410203, -0.11740362579107488, 0.0196945998273374, 0.03844327301187983, 0.013599466787810271, -0.05269065400541874, -0.061835109224928506, 0.0692353928321717, -0.1161735162362036, 0.08021894545490604, -0.06509268304790336, -0.06117514935663813, 0.11343146746979205, -0.06597151341039627, -0.06338576636752367, 0.16155965348796208, -0.032754764481715, -0.03997308797068893, 0.02957328404761743, 0.04027143922715028, -0.061425262917273994, -0.0075137809375649105, 0.0879032471826648, -0.018528887372787642, 0.07830836956646903, 0.03346810909629076, 0.1469027863621223, -0.12940235903612324, 0.08085939094124779, -0.10022333228529731, -0.02920682638562889, 0.13474035203506474, 0.09038566109269744, -0.10579129219993051, -0.056429165571981875, 0.21973185099602358, -0.010760365192081267, 0.04937544481547169, 0.046020222501992385, -0.0027443605231169447, 0.12367488971532467, -0.06259630118255137]",GCAT,2,0.5618166083495669
"[0.3371376316175326, -0.21762699840288294, 0.06359878004978707, -0.31678271184306583, -0.09095796357164018, 0.09434936615200092, -0.0031761361224225994, 0.04320928595355639, -0.16249227919515638, 0.028364377774736608, 0.06679249766088638, -0.02368206677597037, 0.16940234724654984, 0.10445826818265798, -0.21699860568762602, -0.07924903225608557, 0.16103185945536996, -0.0027964242834869705, 0.05777707452215385, -0.08459814899776687, -0.003822347609335285, -0.12374586591386044, -0.07400588939417782, 0.049119371371047, -0.011711938337209687, -0.06741825270199708, -0.0294647944002999, 0.021169182788828594, -0.0714131656737496, -0.030502239611760403, -0.06513926985733878, -0.08721041866718136, -0.16296583956905827, -0.10536092789223847, -0.0735956432217324, -0.07475163085069324, -0.03327492575297439, 0.020693623418884727, -0.011013280301532929, -0.019742086310816014, 0.1861734537051691, 0.07825036807288527, -0.0951755796838315, -0.006152158131149264, 0.14358311533907495, -0.11426759175454686, -0.050112029249344936, -0.20271228863154508, -0.08255179352261313, -0.08983240785917974, 0.1297333024697159, -0.02797613131134346, 0.0841746366941212, -0.13110835354731723, 0.07930358849052051, -0.015704587421926014, 0.026691794242564192, -0.10165354597123591, 0.07487619317690761, -0.12495480598394629, -0.11250542770408305, 0.13324794103162504, -0.06020361168105376, 0.03913942862732776, 0.018192912280609763, 0.07433529409560398, -0.025819537065963488, -0.04969336266999128, 0.023701306555859065, -0.031038917370712082, -0.08510196241263017, -0.06772335333765811, -0.14839760685366984, -0.006923801767243452, -0.11217951318506816, 0.026446057824696594, -0.0188923680492996, 0.06580115846972316, 0.06956877147915141, -0.03294083422351558, -0.039832403558683026, 0.06413790935806073, -0.026196030197638612, -0.09515209844209405, 0.08685375794428851, -0.1334411400316779, -0.03930769057132599, -0.04180392238353753, 0.10064257199553985, -0.08168034947576726, 0.11488937311842533, -0.07528221191452196, 0.04299717599512015, 0.02748150672371432, -0.13536381232337305, -0.0006319203412856552, -0.02440410257574531, -0.16087507516805172, 0.029458301086588014, -0.038046026513420345]",GCAT,2,0.5618166083495669
"[0.28171249355075834, 0.04994974320450285, -0.11586677740730168, 0.10712667674803852, -0.0453545632127871, -0.07506488022283994, 0.064405864812642, -0.2589909328713642, -0.0678310937497444, 0.016563186555193076, -0.042724114733489145, 0.25222621330189804, 0.035365627193722424, -0.3825256006271853, -0.018454121130444447, -0.02860099448017289, 0.11130183271424332, -0.06496086500056124, 0.48629496227623903, 0.0086709012553069, 0.003786349072830542, 0.07350298813568117, 0.02517968204658812, 0.031250175235521184, 0.0424959332016348, 0.0341262420013661, -0.05747021126355066, -0.036341551059210206, -0.0729735561456102, 0.01581352158350537, 0.02342807806610095, 0.14462395233119002, 0.03413926204793491, 0.039993337936794535, 0.03146533039874818, -0.03397530844730351, -0.09590248553915123, -0.006385821808805921, -0.06038670672161027, 0.04573903883613644, 0.06688202405837017, -0.06536719817574031, 0.0654485993276619, 0.03487488326891901, -0.03637801797482512, 0.11856446902308944, 0.07345894158231425, -0.10204663213149157, -0.08533633599114385, -0.1417368826349421, -0.11767293815588971, -0.014235570535836396, -0.02812829760689428, 0.043115957680775696, -0.0036694132620403363, -0.1071303273080362, 0.06886721138876585, 0.058589164738612795, 0.03698972205160891, -0.05310427488764014, 0.03406605768302041, -0.03421686114608777, -0.08025048541860609, 0.03833011677321466, 0.09081623466913294, -0.025195810489675688, 0.05974005651438606, -0.11216206286859867, -0.0308786257563954, 0.021221217071357282, 0.007079468662215131, 0.055793793151461823, -0.08969965414591925, 0.05293445804823137, 0.012944113528528383, -0.06926340104402649, -0.03858261907008215, -0.04076575150680009, 0.10085483000566109, 0.16622407521181304, -0.02671302118475658, -0.004849286486453874, 0.0739345958932468, 0.1357278279941423, 0.046220848448609596, 0.03669338362494961, -0.07716917934583405, 0.007728043818945436, -0.0665088705588377, 0.04670014002602235, -0.01894015893329077, -0.09944202481025495, 0.032513527416987945, 0.003173888313575143, 0.031029068192206976, -0.020664483777898816, -0.009040081182664866, -0.09925892356721776, -0.06926281073281121, -0.04927386981705605]",CCAT,1,0.5618166083495669
"[0.46321862076296366, -0.146155680897411, 0.009797119384138476, 0.28213929952672895, -0.1343121787655693, -0.06738263952330122, -0.1339347399993476, -0.18801622531560033, -0.0652841821771917, -0.05072214153306508, 0.08019085755957886, 0.00997631700376108, 0.11519592609243244, 0.19103527616134544, -0.02494459242823265, 0.07291720344404927, -0.09465267094681021, 0.055155468225322225, 0.013016471294945788, -0.055698493666608916, -0.008603856329053852, 0.019099782111339003, -0.10826738883713355, 0.006653642766695683, -0.09340047215265251, -0.06445324680811196, -0.03795888066597432, 0.13120847290051646, 0.07514874361469254, 0.04834329568571969, -0.08185064343792234, 0.019536038102852555, -0.04094593167629458, -0.10009110710999403, -0.009529411989874543, 0.10772450402970384, -0.04820133991728039, -0.01946405155521597, -0.08387149680000212, -0.049253321273630364, -0.033183666188760785, -0.09100742280022615, -0.06777224863378659, 0.10808092997368651, -0.06471692246834808, 0.022398054605232556, 0.03539363946333228, 0.016565065551618494, 0.0807109752959608, 0.027592281320058056, 0.14424730001535424, 0.04343052232251702, -0.07794547806719503, -0.09347686886868074, -0.06414938546118919, 0.03330780830387712, 0.0072804118598516045, -0.10461187630017621, -0.04347125743681103, -0.03687670556064806, -0.011878919038209368, -0.03960147611230933, -0.04548805053417978, 0.16540465847113056, 0.11426883056835176, 0.03125685052631308, -0.022631792457152775, 0.0245434463488594, -0.05098366658755184, -0.07403359595989821, -0.060127553421512145, 0.01266765550579763, 0.07075562181987004, 0.016191359588803696, -0.15386107874965033, 0.07883783090773107, 0.11872600664337155, -0.03422725360952512, -0.02464588954689569, 0.07217963030844216, 0.05711723030178233, -0.04728135650299231, -0.04883664673388158, 0.026376192532212454, 0.03715745753372903, -0.03491846526977617, -0.07431177605669523, 0.17351815849191848, -0.11141515310345695, 0.08539090835054405, 0.011309399385345418, -0.20860058025873862, 0.024189711642793467, -0.06271687149480464, -0.24383067428068372, -0.031428243641902734, 0.14027106382836743, -0.10553393073901306, -0.11158353210607012, 0.030123384672871692]",MCAT,3,0.5618166083495669
"[0.3018361536740362, 0.331255683534968, -0.11111003996188479, -0.019357938212552866, 0.057475373204377796, 0.10517359008128178, -0.027836883622030732, 0.006462345628471704, 0.08252686271638793, 0.053503761290848016, 0.036225622502550923, -0.10476472826405386, -0.050584590107025665, 0.1329282431607021, -0.03815818081039932, 0.003592460720578912, 0.008997355573040846, 0.13900648034696658, 0.07586153173228002, 0.00234387864235281, 0.00964098928008348, 0.1251105650030799, 0.034891022285122184, -0.13521259034766878, 0.05032808473531924, -0.16464554286774438, -0.1748091959375049, 0.05107754900662705, -0.1115643508568545, -0.04359610240175729, 0.05734584996327169, -0.17385991341114404, 0.03034635867577823, 0.04730669080282313, -0.02464347903149798, -0.02640256840046001, 0.00637210137586055, -0.1390783424660477, 0.17854122414687207, 0.05659693771930337, 0.03762800810435637, -0.12879065023646694, -0.05083171157901201, 0.18872223664638196, -0.10055229960813185, -0.02180416734793308, 0.11608166765130186, 0.031985088169572004, 0.10929429125468432, -0.0709759818807596, -0.03749372967963873, -0.07459974373949424, 0.09726940427968567, -0.15007697914697218, -0.19042522013128207, 0.03556333693550461, -0.061336251723441135, 0.0891882569864939, 0.04167586962453376, 0.11504878219635929, -0.07702775142872112, 0.038828929596571235, -0.0716564590116653, -0.1329011018505544, 0.03850131455443241, 0.12406785685815512, -0.08960083533448113, -0.06115266478407432, 0.09620320465315504, -0.059561551334104866, 0.03937829928281282, 0.13705309521005044, 0.02578273383641372, -3.08184572568249e-05, -0.09224804666349613, 0.02105742587503362, -0.07719182490748486, -0.012353221254595816, -0.06356860582579657, -0.06324111853253513, 0.16217459211021912, 0.025994875516520154, 0.07003014254838887, -0.04432492527523673, 0.05481064146700342, -0.06360557740101554, 0.13069385233186215, -0.16233288963393594, -0.029705228758440654, -0.037607813763599486, -0.05296805482827762, -0.034129818517545714, -0.14835779520643433, -0.012265649547963591, -0.15671421877480807, -0.02443906917599819, 0.11366580837215383, 0.07508415369674143, -0.10766085536981054, -0.11093366056420698]",CCAT,1,0.5618166083495669
