iteration_id,k_value,batch_size,execution_time,wcss
0,4,1000,33.840394258499146,125086.91021643454
1,4,1000,30.87278175354004,125963.54260940039
2,4,1000,30.44555902481079,125490.87361976266
3,4,1000,29.91323208808899,126306.51591143016
4,4,1000,29.980027198791504,126394.04746198576
5,4,1000,30.053941249847412,125741.58894974868
6,4,1000,29.38179850578308,126581.42495071497
7,4,1000,29.347022771835327,126098.01494722458
8,4,1000,28.63438391685486,126448.34827694486
9,4,1000,30.869873762130737,126295.13078076739
10,4,1000,30.512295484542847,126229.86358803006
11,4,1000,28.96623420715332,125499.5507468508
12,4,1000,29.41411304473877,126045.5940100267
13,4,1000,30.353272676467896,125498.8817784262
14,4,1000,30.116289377212524,126522.9142533176
15,4,1000,29.03767490386963,127128.17576750754
16,4,1000,28.569653272628784,126276.87353810896
17,4,1000,29.011488914489746,125733.44355417904
18,4,1000,28.605285167694092,126441.45293999488
19,4,1000,28.972540855407715,127432.28322173168
20,4,1000,28.672585010528564,126241.7496784311
21,4,1000,29.03230094909668,126208.72656806461
22,4,1000,29.305274724960327,126746.89020983751
23,4,1000,29.33172106742859,126980.23200911563
24,4,1000,28.549784421920776,126592.98906046648
25,4,1000,29.14386796951294,125582.92800521984
26,4,1000,28.832162380218506,126820.71098094033
27,4,1000,30.270107746124268,126945.06744748009
28,4,1000,28.40213894844055,125877.52658857909
29,4,1000,28.775888204574585,125802.09413170614
30,4,1000,28.423486948013306,126297.76241301716
31,4,1000,28.893147468566895,125321.09439488065
32,4,1000,28.721899032592773,124978.25255586811
33,4,1000,28.67994999885559,125766.555325841
34,4,1000,28.784809827804565,127038.96576579919
35,4,1000,28.722554206848145,126654.80178487592
36,4,1000,28.69815945625305,126327.96904787575
37,4,1000,29.522425413131714,125968.38958552109
38,4,1000,29.768516063690186,125543.71517161105
39,4,1000,29.44488525390625,126406.04250322767
40,4,1000,30.13885259628296,125247.31479473517
41,4,1000,28.812999963760376,125893.11672041602
42,4,1000,28.58493208885193,126996.09023034848
43,4,1000,28.54335927963257,126344.5227174626
44,4,1000,204.99672293663025,125712.68968810354
45,4,1000,128.35842514038086,125918.49179557753
46,4,1000,72.94284081459045,125374.12010710694
47,4,1000,59.15420126914978,126823.06955991748
48,4,1000,28.368372440338135,127352.30650071122
49,4,1000,27.970423698425293,125891.7596474858
