iteration_id,k_value,batch_size,execution_time,wcss
0,4,1000,19.528218984603882,126913.30493048744
1,4,1000,14.627743482589722,125343.88423303525
2,4,1000,13.968254566192627,124933.95726631559
3,4,1000,13.10958743095398,125392.48539205139
4,4,1000,12.625694036483765,126565.25382253795
5,4,1000,12.219380855560303,124468.4121693168
6,4,1000,13.525352001190186,124827.29559965068
7,4,1000,13.159110307693481,124967.72053216578
8,4,1000,12.121971368789673,126075.667859684
9,4,1000,12.197340250015259,124695.16444672858
10,4,1000,12.038392543792725,124540.36904321046
11,4,1000,12.175259113311768,124751.68316754981
12,4,1000,12.238951921463013,126284.72915271195
13,4,1000,12.1995370388031,125823.7029600444
14,4,1000,12.697800397872925,125615.35293509669
15,4,1000,12.47752833366394,125046.71046056865
16,4,1000,12.027724504470825,125820.99976532538
17,4,1000,11.831183195114136,125266.3918213254
18,4,1000,11.710056781768799,126453.2274660592
19,4,1000,11.797085762023926,125168.69673789448
20,4,1000,11.920363903045654,124937.99880789264
21,4,1000,12.385694026947021,124950.05045750894
22,4,1000,11.49685287475586,125066.19047414999
23,4,1000,11.323866605758667,124802.26428578972
24,4,1000,11.883049964904785,126341.81087507613
25,4,1000,11.54764723777771,126054.27541102046
26,4,1000,11.853872060775757,125384.65982581336
27,4,1000,11.763925075531006,124691.01095575065
28,4,1000,11.575557470321655,125544.96750858675
29,4,1000,11.437389612197876,126154.16106673356
30,4,1000,11.197437524795532,125599.94227491911
31,4,1000,11.513741493225098,125548.68243046089
32,4,1000,11.503833293914795,126624.98132694229
33,4,1000,11.579297065734863,126189.11498330446
34,4,1000,11.266953945159912,125036.39651482039
35,4,1000,11.656363487243652,125006.73547708205
36,4,1000,11.732215166091919,126682.66988369962
37,4,1000,11.742423295974731,125543.31056874922
38,4,1000,11.984721660614014,126995.26917553345
39,4,1000,11.238201379776001,124822.82482893647
40,4,1000,11.788516998291016,126185.0062376928
41,4,1000,12.112962484359741,125585.5811283919
42,4,1000,12.333516120910645,125462.60984652772
43,4,1000,11.68958830833435,124625.47769757733
44,4,1000,11.527067184448242,125012.72028382157
45,4,1000,11.136649370193481,125629.976976503
46,4,1000,11.623975992202759,126249.35491806426
47,4,1000,11.56916880607605,125708.50629721535
48,4,1000,11.18208384513855,125819.98267331863
49,4,1000,11.321838140487671,126065.2767240201
